,crn,subject,course,section,title,instructor,dates,seats,waitlist
153,34611,C S,5990,20,Independent Studies,"Abdulhak, Mansoor",Jan 13 - May 9,2 out of 3,No Wait List
154,43075,C S,5990,21,Independent Studies,"Quadri, Ghulam",Jan 13 - May 9,2 out of 3,No Wait List
155,43455,C S,5990,22,Independent Studies,"Khanmohammadi, Sina",Jan 13 - May 9,3 out of 3,No Wait List
156,43456,C S,5990,23,Independent Studies,"Veras, Richard",Jan 13 - May 9,1 out of 3,No Wait List
157,47704,C S,5990,24,Independent Studies,"Demirel, Doga",Jan 13 - May 9,3 out of 3,No Wait List
158,47705,C S,5990,25,Independent Studies,"Lin, Beiyu",Jan 13 - May 9,3 out of 3,No Wait List
159,47894,C S,5990,98,Independent Studies,TBA,Jan 13 - May 9,1 out of 1,No Wait List
160,17842,C S,6980,1,Research Doctoral Dissertation,"Hougen, Dean",Jan 13 - May 9,1 out of 7,No Wait List
161,17845,C S,6980,3,Research Doctoral Dissertation,"Trytten, Deborah",Jan 13 - May 9,2 out of 3,No Wait List
162,17847,C S,6980,4,Research Doctoral Dissertation,"Atiquzzaman, Mohammed",Jan 13 - May 9,2 out of 3,No Wait List
163,17851,C S,6980,6,Research Doctoral Dissertation,"Diochnos, Dimitrios",Jan 13 - May 9,1 out of 3,No Wait List
164,17853,C S,6980,7,Research Doctoral Dissertation,"Zhao, Shangqing",Jan 13 - May 9,3 out of 3,No Wait List
165,17855,C S,6980,8,Research Doctoral Dissertation,"Cao, Jie",Jan 13 - May 9,3 out of 3,No Wait List
166,17858,C S,6980,9,Research Doctoral Dissertation,"Radhakrishnan, Sridhar",Jan 13 - May 9,2 out of 3,No Wait List
167,17860,C S,6980,10,Research Doctoral Dissertation,"Gruenwald, Gia-Loi",Jan 13 - May 9,1 out of 3,No Wait List
168,45790,C S,6980,11,Research Doctoral Dissertation,"Moussa, Marmar",Jan 13 - May 9,3 out of 3,No Wait List
169,17863,C S,6980,12,Research Doctoral Dissertation,"Fang, Song",Jan 13 - May 9,1 out of 3,No Wait List
170,17865,C S,6980,13,Research Doctoral Dissertation,"Maiti, Anindya",Jan 13 - May 9,2 out of 3,No Wait List
171,43460,C S,6980,14,Research Doctoral Dissertation,"Lan, Chao",Jan 13 - May 9,1 out of 3,No Wait List
172,17868,C S,6980,15,Research Doctoral Dissertation,"Cheng, Qi",Jan 13 - May 9,2 out of 3,No Wait List
173,17870,C S,6980,16,Research Doctoral Dissertation,"Habibi, Golnaz",Jan 13 - May 9,3 out of 3,No Wait List
174,17875,C S,6980,18,Research Doctoral Dissertation,"Fagg, Andrew",Jan 13 - May 9,2 out of 3,No Wait List
175,17878,C S,6980,19,Research Doctoral Dissertation,"McGovern, Amy",Jan 13 - May 9,3 out of 3,No Wait List
176,45791,C S,6980,20,Research Doctoral Dissertation,TBA,Jan 13 - May 9,3 out of 3,No Wait List
177,43414,C S,6980,21,Research Doctoral Dissertation,"Quadri, Ghulam",Jan 13 - May 9,3 out of 3,No Wait List
178,43453,C S,6980,22,Research Doctoral Dissertation,"Khanmohammadi, Sina",Jan 13 - May 9,3 out of 3,No Wait List
179,43454,C S,6980,23,Research Doctoral Dissertation,"Veras, Richard",Jan 13 - May 9,3 out of 3,No Wait List
180,47706,C S,6980,24,Research Doctoral Dissertation,"Demirel, Doga",Jan 13 - May 9,3 out of 3,No Wait List
181,47707,C S,6980,25,Research Doctoral Dissertation,"Lin, Beiyu",Jan 13 - May 9,3 out of 3,No Wait List
182,47708,C S,6980,26,Research Doctoral Dissertation,TBA,Jan 13 - May 9,5 out of 5,No Wait List
183,24074,C S,6990,1,Independent Study,"Hougen, Dean",Jan 13 - May 9,3 out of 3,No Wait List
184,24075,C S,6990,2,Independent Study,"Ebert, David",Jan 13 - May 9,3 out of 3,No Wait List
185,24076,C S,6990,3,Independent Study,"Trytten, Deborah",Jan 13 - May 9,3 out of 3,No Wait List
186,24077,C S,6990,4,Independent Study,"Atiquzzaman, Mohammed",Jan 13 - May 9,3 out of 3,No Wait List
187,24078,C S,6990,5,Independent Study,"Pan, Chongle",Jan 13 - May 9,3 out of 3,No Wait List
188,24079,C S,6990,6,Independent Study,"Diochnos, Dimitrios",Jan 13 - May 9,3 out of 3,No Wait List
189,24080,C S,6990,7,Independent Study,"Zhao, Shangqing",Jan 13 - May 9,3 out of 3,No Wait List
190,24081,C S,6990,8,Independent Study,"Cao, Jie",Jan 13 - May 9,3 out of 3,No Wait List
191,24082,C S,6990,9,Independent Study,"Radhakrishnan, Sridhar",Jan 13 - May 9,3 out of 3,No Wait List
192,24083,C S,6990,10,Independent Study,"Gruenwald, Gia-Loi",Jan 13 - May 9,3 out of 3,No Wait List
193,45792,C S,6990,11,Independent Study,"Moussa, Marmar",Jan 13 - May 9,2 out of 3,No Wait List
194,24084,C S,6990,12,Independent Study,"Fang, Song",Jan 13 - May 9,3 out of 3,No Wait List
195,24085,C S,6990,13,Independent Study,"Maiti, Anindya",Jan 13 - May 9,3 out of 3,No Wait List
196,24086,C S,6990,14,Independent Study,"Lan, Chao",Jan 13 - May 9,3 out of 3,No Wait List
197,24087,C S,6990,15,Independent Study,"Cheng, Qi",Jan 13 - May 9,3 out of 3,No Wait List
198,24088,C S,6990,16,Independent Study,"Habibi, Golnaz",Jan 13 - May 9,1 out of 3,No Wait List
199,24091,C S,6990,17,Independent Study,"Weaver, Christopher",Jan 13 - May 9,3 out of 3,No Wait List
200,24089,C S,6990,18,Independent Study,"Fagg, Andrew",Jan 13 - May 9,3 out of 3,No Wait List
201,45793,C S,6990,20,Independent Study,TBA,Jan 13 - May 9,3 out of 3,No Wait List
202,43450,C S,6990,21,Independent Study,"Quadri, Ghulam",Jan 13 - May 9,3 out of 3,No Wait List
203,43451,C S,6990,22,Independent Study,"Khanmohammadi, Sina",Jan 13 - May 9,3 out of 3,No Wait List
204,43452,C S,6990,23,Independent Study,"Veras, Richard",Jan 13 - May 9,2 out of 3,No Wait List
205,47726,C S,6990,24,Independent Study,"Demirel, Doga",Jan 13 - May 9,2 out of 3,No Wait List
206,47727,C S,6990,25,Independent Study,"Lin, Beiyu",Jan 13 - May 9,3 out of 3,No Wait List
207,47728,C S,6990,26,Independent Study,TBA,Jan 13 - May 9,5 out of 5,No Wait List
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
